2025-11-20 01:41:52,488 | INFO | [MainController] Device selected: R94XC0N5S9E
2025-11-20 01:41:54,943 | INFO | [MainController] Process selected: PID 3206 on R94XC0N5S9E
2025-11-20 01:41:59,801 | INFO | [MainController] Process selected: PID 864 on R94XC0N5S9E
2025-11-20 01:41:59,879 | INFO | [MainController] Process selected: PID 866 on R94XC0N5S9E
2025-11-20 01:42:01,548 | INFO | [MainController] Process selected: PID 864 on R94XC0N5S9E
2025-11-20 01:42:01,716 | INFO | [MainController] Process selected: PID 3206 on R94XC0N5S9E
2025-11-20 01:42:02,700 | INFO | [MainController] Process selected: PID 9441 on R94XC0N5S9E
2025-11-20 01:42:02,813 | INFO | [MainController] Process selected: PID 9441 on R94XC0N5S9E
2025-11-20 01:42:03,112 | INFO | [MainController] Process selected: PID 907 on R94XC0N5S9E
2025-11-20 01:42:03,945 | INFO | [MainController] Process selected: PID 10644 on R94XC0N5S9E
2025-11-20 01:42:17,958 | INFO | [MainController] Injection state: injecting
2025-11-20 01:42:18,862 | INFO | [InjectionController] Attaching to PID 10644...
2025-11-20 01:42:18,880 | INFO | [InjectionController] Creating script...
2025-11-20 01:42:18,895 | INFO | [InjectionController] Injection failed: script(line 59): SyntaxError: unexpected token in expression: ''
2025-11-20 01:42:18,895 | INFO | [MainController] Injection state: idle
2025-11-20 01:42:18,896 | INFO | [MainController] Injection failed: script(line 59): SyntaxError: unexpected token in expression: ''
2025-11-20 01:42:36,246 | INFO | [MainController] Injection state: injecting
2025-11-20 01:42:37,159 | INFO | [InjectionController] Attaching to PID 10644...
2025-11-20 01:42:37,167 | INFO | [InjectionController] Creating script...
2025-11-20 01:42:37,178 | INFO | [InjectionController] Injection failed: script(line 59): SyntaxError: unexpected token in expression: ''
2025-11-20 01:42:37,178 | INFO | [MainController] Injection state: idle
2025-11-20 01:42:37,179 | INFO | [MainController] Injection failed: script(line 59): SyntaxError: unexpected token in expression: ''
2025-11-20 01:43:09,707 | INFO | [MainController] Injection state: injecting
2025-11-20 01:43:10,614 | INFO | [InjectionController] Attaching to PID 10644...
2025-11-20 01:43:10,622 | INFO | [InjectionController] Creating script...
2025-11-20 01:43:10,632 | INFO | [InjectionController] Injection failed: script(line 41): SyntaxError: unexpected end of string
2025-11-20 01:43:10,633 | INFO | [MainController] Injection state: idle
2025-11-20 01:43:10,633 | INFO | [MainController] Injection failed: script(line 41): SyntaxError: unexpected end of string
2025-11-20 01:43:49,859 | INFO | [MainController] Injection state: injecting
